a_objnumber	b_filename	c_soundname	d_genre	e_value	f_famil	g_filename1	h_soundname1	i_genre1	j_value1	k_famil1	l_difference	l_difference_a	m_fixation_w	n_metric	o_location	b_metrical	c_location	t_before_onset	resp	result	rt
33	24.jpg	24.wav	Jazz	5	4	8.jpg	8.wav	Pop	5	5	0	0	1	1	1	NaN	NaN	NaN		NaN	NaN
34	38.jpg	38.wav	Jazz	2	5	12.jpg	12.wav	Pop	2	5	0	0	1	1	0	NaN	NaN	NaN		NaN	NaN
35	11.jpg	11.wav	Pop	2	5	12.jpg	12.wav	Pop	2	5	0	0	1	0	1	NaN	NaN	NaN		NaN	NaN
36	23.jpg	23.wav	Pop	5	5	50.jpg	50.wav	Rock	5	5	0	0	1	0	0	NaN	NaN	NaN		NaN	NaN
37	31.jpg	31.wav	Folk	3	5	23.jpg	23.wav	Pop	5	5	2	-2	0	1	1	NaN	NaN	NaN		NaN	NaN
38	20.jpg	20.wav	Regae	3	4	32.jpg	32.wav	Pop	5	5	2	-2	0	1	0	NaN	NaN	NaN		NaN	NaN
39	38.jpg	38.wav	Jazz	2	5	14.jpg	14.wav	Jazz	4	5	2	-2	0	0	1	NaN	NaN	NaN		NaN	NaN
40	31.jpg	31.wav	Folk	3	5	54.jpg	54.wav	Rap	5	4	2	-2	0	0	0	NaN	NaN	NaN		NaN	NaN
41	38.jpg	38.wav	Jazz	2	5	20.jpg	20.wav	Regae	3	4	1	-1	0	1	1	NaN	NaN	NaN		NaN	NaN
42	12.jpg	12.wav	Pop	2	5	52.jpg	52.wav	Old_rock	3	4	1	-1	0	1	0	NaN	NaN	NaN		NaN	NaN
43	38.jpg	38.wav	Jazz	2	5	1.jpg	1.wav	Pop	3	4	1	-1	0	0	1	NaN	NaN	NaN		NaN	NaN
44	11.jpg	11.wav	Pop	2	5	1.jpg	1.wav	Pop	3	4	1	-1	0	0	0	NaN	NaN	NaN		NaN	NaN
45	1.jpg	1.wav	Pop	3	4	48.jpg	48.wav	Rock	3	5	0	0	0	1	1	NaN	NaN	NaN		NaN	NaN
46	44.jpg	44.wav	70_rock	2	5	16.jpg	16.wav	Pop	2	5	0	0	0	1	0	NaN	NaN	NaN		NaN	NaN
47	24.jpg	24.wav	Jazz	5	4	23.jpg	23.wav	Pop	5	5	0	0	0	0	1	NaN	NaN	NaN		NaN	NaN
48	46.jpg	46.wav	Rock	4	5	14.jpg	14.wav	Jazz	4	5	0	0	0	0	0	NaN	NaN	NaN		NaN	NaN
49	30.jpg	30.wav	Cl_ce	3	4	51.jpg	51.wav	Pop	1	4	2	2	1	1	1	NaN	NaN	NaN		NaN	NaN
50	30.jpg	30.wav	Cl_ce	3	4	27.jpg	27.wav	Pop	1	5	2	2	1	1	0	NaN	NaN	NaN		NaN	NaN
51	14.jpg	14.wav	Jazz	4	5	12.jpg	12.wav	Pop	2	5	2	2	1	0	1	NaN	NaN	NaN		NaN	NaN
52	46.jpg	46.wav	Rock	4	5	13.jpg	13.wav	Rock	2	4	2	2	1	0	0	NaN	NaN	NaN		NaN	NaN
53	1.jpg	1.wav	Pop	3	4	5.jpg	5.wav	Pop	2	5	1	1	1	1	1	NaN	NaN	NaN		NaN	NaN
54	5.jpg	5.wav	Pop	2	5	51.jpg	51.wav	Pop	1	4	1	1	1	1	0	NaN	NaN	NaN		NaN	NaN
55	45.jpg	45.wav	Pop	4	5	48.jpg	48.wav	Rock	3	5	1	1	1	0	1	NaN	NaN	NaN		NaN	NaN
56	52.jpg	52.wav	Old_rock	3	4	13.jpg	13.wav	Rock	2	4	1	1	1	0	0	NaN	NaN	NaN		NaN	NaN
57	13.jpg	13.wav	Rock	2	4	44.jpg	44.wav	70_rock	2	5	0	0	1	1	1	NaN	NaN	NaN		NaN	NaN
58	31.jpg	31.wav	Folk	3	5	20.jpg	20.wav	Regae	3	4	0	0	1	1	0	NaN	NaN	NaN		NaN	NaN
59	46.jpg	46.wav	Rock	4	5	45.jpg	45.wav	Pop	4	5	0	0	1	0	1	NaN	NaN	NaN		NaN	NaN
60	1.jpg	1.wav	Pop	3	4	19.jpg	19.wav	Rock	3	5	0	0	1	0	0	NaN	NaN	NaN		NaN	NaN
61	49.jpg	49.wav	Pop	2	5	53.jpg	53.wav	Soul	4	5	2	-2	0	1	1	NaN	NaN	NaN		NaN	NaN
62	30.jpg	30.wav	Cl_ce	3	4	50.jpg	50.wav	Rock	5	5	2	-2	0	1	0	NaN	NaN	NaN		NaN	NaN
63	48.jpg	48.wav	Rock	3	5	24.jpg	24.wav	Jazz	5	4	2	-2	0	0	1	NaN	NaN	NaN		NaN	NaN
